"id","decisionnum","deckl","deckr","pair","deckchoice","effort_type","prog_type","effchoice","progchoice"
"A13WTEQ06V3B6D",7,"deck3","deck2","2-3",82,"MH","NoProg_NoProg",0,0
"A13WTEQ06V3B6D",8,"deck6","deck4","4-6",82,"LH","Prog_Prog",0,1
"A13WTEQ06V3B6D",9,"deck1","deck6","1-6",82,"LH","NoProg_Prog",1,1
"A13WTEQ06V3B6D",10,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A13WTEQ06V3B6D",11,"deck3","deck1","1-3",76,"LH","NoProg_NoProg",1,0
"A13WTEQ06V3B6D",12,"deck4","deck3","3-4",82,"LH","Prog_NoProg",1,0
"A13WTEQ06V3B6D",13,"deck4","deck1","1-4",82,"LL","NoProg_Prog",NA,0
"A13WTEQ06V3B6D",14,"deck2","deck3","2-3",82,"MH","NoProg_NoProg",1,0
"A13WTEQ06V3B6D",15,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A13WTEQ06V3B6D",16,"deck6","deck3","3-6",82,"HH","NoProg_Prog",NA,0
"A13WTEQ06V3B6D",17,"deck6","deck5","5-6",82,"MH","Prog_Prog",0,1
"A13WTEQ06V3B6D",18,"deck1","deck3","1-3",82,"LH","NoProg_NoProg",1,0
"A13WTEQ06V3B6D",19,"deck1","deck2","1-2",82,"LM","NoProg_NoProg",1,0
"A13WTEQ06V3B6D",20,"deck5","deck1","1-5",82,"LM","NoProg_Prog",0,0
"A13WTEQ06V3B6D",21,"deck3","deck4","3-4",82,"LH","Prog_NoProg",0,1
"A13WTEQ06V3B6D",22,"deck2","deck5","2-5",82,"MM","NoProg_Prog",NA,1
"A13WTEQ06V3B6D",23,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A13WTEQ06V3B6D",24,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A13WTEQ06V3B6D",25,"deck5","deck6","5-6",82,"MH","Prog_Prog",1,1
"A13WTEQ06V3B6D",26,"deck2","deck6","2-6",82,"MH","NoProg_Prog",1,1
"A13WTEQ06V3B6D",27,"deck3","deck6","3-6",82,"HH","NoProg_Prog",NA,1
"A13WTEQ06V3B6D",28,"deck6","deck1","1-6",82,"LH","NoProg_Prog",0,0
"A13WTEQ06V3B6D",29,"deck2","deck1","1-2",82,"LM","NoProg_NoProg",0,0
"A13WTEQ06V3B6D",30,"deck5","deck2","2-5",82,"MM","NoProg_Prog",NA,0
"A13WTEQ06V3B6D",31,"deck6","deck5","5-6",82,"MH","Prog_Prog",0,1
"A13WTEQ06V3B6D",32,"deck5","deck3","3-5",82,"MH","Prog_NoProg",1,0
"A13WTEQ06V3B6D",33,"deck5","deck1","1-5",82,"LM","NoProg_Prog",0,0
"A13WTEQ06V3B6D",34,"deck1","deck3","1-3",82,"LH","NoProg_NoProg",1,0
"A13WTEQ06V3B6D",35,"deck1","deck4","1-4",82,"LL","NoProg_Prog",NA,1
"A13WTEQ06V3B6D",36,"deck3","deck1","1-3",82,"LH","NoProg_NoProg",0,0
"A13WTEQ06V3B6D",37,"deck5","deck3","3-5",82,"MH","Prog_NoProg",1,0
"A13WTEQ06V3B6D",38,"deck2","deck6","2-6",82,"MH","NoProg_Prog",1,1
"A13WTEQ06V3B6D",39,"deck4","deck3","3-4",82,"LH","Prog_NoProg",1,0
"A13WTEQ06V3B6D",40,"deck5","deck6","5-6",82,"MH","Prog_Prog",1,1
"A13WTEQ06V3B6D",41,"deck5","deck4","4-5",82,"LM","Prog_Prog",0,1
"A13WTEQ06V3B6D",42,"deck6","deck1","1-6",82,"LH","NoProg_Prog",0,0
"A13WTEQ06V3B6D",43,"deck6","deck2","2-6",82,"MH","NoProg_Prog",0,0
"A13WTEQ06V3B6D",44,"deck6","deck4","4-6",82,"LH","Prog_Prog",0,1
"A13WTEQ06V3B6D",45,"deck4","deck2","2-4",82,"LM","Prog_NoProg",1,0
"A13WTEQ06V3B6D",46,"deck6","deck3","3-6",82,"HH","NoProg_Prog",NA,0
"A13WTEQ06V3B6D",47,"deck3","deck6","3-6",82,"HH","NoProg_Prog",NA,1
"A13WTEQ06V3B6D",48,"deck1","deck5","1-5",82,"LM","NoProg_Prog",1,1
"A13WTEQ06V3B6D",49,"deck1","deck5","1-5",82,"LM","NoProg_Prog",1,1
"A13WTEQ06V3B6D",50,"deck3","deck2","2-3",82,"MH","NoProg_NoProg",0,0
"A13WTEQ06V3B6D",51,"deck2","deck3","2-3",82,"MH","NoProg_NoProg",1,0
